nome,lista,link
ADI 5575,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66540&amp;data=25/10/2018&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA3
ADI 5077,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67126&amp;data=25/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA3
ADI 5352,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67140&amp;data=25/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA4
ADI 5312,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67141&amp;data=25/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA5
ADI 4562,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=63999&amp;data=17/10/2018&amp;ministro=MIN.CELSODEMELLO&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA1
ADI 854,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=64000&amp;data=17/10/2018&amp;ministro=MIN.CELSODEMELLO&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA2
ADI 5336,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66730&amp;data=17/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA17
ADI 5140,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66320&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA5
ADI 5462,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66322&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA7
ADI 4693,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66323&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA8
ADI 5016,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66324&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA9
ADI 5307,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66339&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA10
ADI 5044,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66325&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA11
ADI 5275,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66327&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA13
ADI 4382,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66340&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA14
ADI 5260,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66328&amp;data=11/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA15
ADI 5832,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66239&amp;data=10/10/2018&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA1
ADI 4759,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66240&amp;data=10/10/2018&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA2
ADI 3185,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66242&amp;data=10/10/2018&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA4
ADI 5767,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66243&amp;data=10/10/2018&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA5
ADI 2898,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66039&amp;data=10/10/2018&amp;ministro=MIN.DIASTOFFOLI&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA1
ADI 2323,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=66059&amp;data=10/10/2018&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA3
